AZ,34.076,-111.708,SPRING (HOT),99,,,,,,,
AZ,36.895,-113.913,SPRINGS,79,,,,,,,
AZ,34.910,-113.608,TOM BROWN WARM SPRING,82,,,,,,,
AZ,34.320,-111.453,TONTO NATURAL BRIDGE SPRING,72,,,,,,,
AZ,35.077,-113.267,TROUT CREEK SPRING,81,,,,,,,
AZ,34.357,-111.710,VERDE HOT SPRINGS,104,,,,,,,
AZ,33.068,-109.975,WARM SPRING,90,,,,,,,
AZ,33.062,-109.482,WARM SPRING,73,,,,,,,
AZ,33.780,-110.317,WARM SPRING,W,,,,,,,
AZ,32.983,-110.373,WARM SPRING,79,,,,,,,
AZ,32.345,-110.247,WARM SPRINGS,91,,,,,,,
AZ,33.438,-110.213,WARM SPRINGS,86,,,,,,,
AZ,33.198,-110.668,null,,,,,,,,
AZ,33.748,-110.235,null,,,,,,,,
AZ,35.110,-113.810,null,,,,,,,,
CA,39.022,-122.444,ABBOTT MINE,86,,,,,,,
CA,38.654,-122.484,AETNA SPRINGS,91,,,,,,,
CA,34.538,-119.560,AGUA CALIENTE SPRING,133,,,,,,,
CA,32.947,-116.305,AGUA CALIENTE SPRINGS,101,,,,,,,
CA,33.363,-117.017,AGUA TIBIA SPRING,92,,,,,,,
CA,37.503,-121.904,ALAMEDA WARM SPRINGS,80,,,,,,,
CA,40.302,-120.195,AMEDEE HOT SPRINGS,203,,,,,,,
CA,38.773,-122.705,ANDERSON SPRINGS,108,,,,,,,
CA,34.185,-117.262,ARROWHEAD SPRINGS, WATERMAN HOT SPR, ,,,,,,
CA,38.850,-122.667,BAD CREEK SPRING,81,,,,,,,
CA,35.842,-117.380,BAINTER SPRING,92,,,,,,,
CA,38.892,-122.533,BAKER SODA SPRING,76,,,,,,,
CA,41.167,-120.032,BARE RANCH SPRING,90,,,,,,,
CA,39.183,-122.700,BARTLETT SPRINGS,144,,,,,,,
CA,41.143,-121.110,BASSETT HOT SPRINGS,174,,,,,,,
CA,37.802,-118.532,BENTON HOT SPRINGS,134,,,,,,,
CA,37.888,-118.487,BERTRAND RANCH SPRINGS,70,,,,,,,
CA,41.025,-121.924,BIG BEND HOT SPRINGS,180,,,,,,,
CA,39.006,-122.787,BIG SODA SPRING,90,,,,,,,
CA,37.234,-118.881,BLANEY MEADOWS HOT SPRINGS,109,,,,,,,
CA,39.032,-122.432,BLANK SPRING, MANZANITA MINE SPRS,,,,,,,
CA,41.919,-122.369,BOGUS SODA SPRINGS,76,,,,,,,
CA,40.434,-121.399,BOILING SPRINGS LAKE,190,,,,,,,
CA,34.423,-119.538,BORON SPRING,72,,,,,,,
CA,39.226,-120.010,BROCKWAY HOT SPRINGS,131,,,,,,,
CA,38.237,-119.326,BUCKEYE HOT SPRING,140,,,,,,,
CA,40.455,-121.501,BUMPASS HELL,199,,,,,,,
CA,37.847,-121.635,BYRON HOT SPRINGS,96,,,,,,,
CA,35.881,-118.670,CALIFORNIA HOT SPRINGS,122,,,,,,,
CA,38.580,-122.575,CALISTOGA HOT SPRINGS,172,,,,,,,
CA,35.400,-120.250,CAMETA WARM SPRING,73,,,,,,,
CA,39.573,-120.348,CAMPBELL HOT SPRINGS,111,,,,,,,
CA,33.545,-115.654,CANYON SPRING,97,,,,,,,
CA,38.916,-122.799,CARLSBAD SPRING,76,,,,,,,
CA,35.439,-119.846,CARNEROS SPRING,90,,,,,,,
CA,37.647,-118.859,CASA DIABLO HOT POOL,165,,,,,,,
CA,37.648,-118.914,CASA DIABLO HOT SPRINGS AND GEYSER,199,,,,,,,
CA,38.768,-122.717,CASTLE ROCK SPRINGS,163,,,,,,,
CA,37.638,-118.887,CHANCE SPRING,73,,,,,,,
CA,35.946,-116.189,CHAPPO SPRING,80,,,,,,,
CA,36.144,-120.555,COALINGA MINERAL SPRINGS,112,,,,,,,
CA,33.625,-115.325,CORN SPRING,72,,,,,,,
CA,36.045,-117.769,COSO HOT SPRINGS,207,,,,,,,
CA,39.292,-122.821,CRABTREE HOT SPRINGS,106,,,,,,,
CA,37.632,-121.762,CROHARE SPRING,70,,,,,,,
CA,38.995,-122.642,DAVIS SODA SPRING,73,,,,,,,
